target distance: 50, step size: 10
0: (x, y) = (0, 0) 
1: (x, y) = (4.8481, -8.7462) 
2: (x, y) = (14.0531, -12.6535) 
3: (x, y) = (4.78131, -16.3996) 
4: (x, y) = (5.1303, -6.40567) 
5: (x, y) = (-3.6159, -11.2538) 
6: (x, y) = (6.37801, -11.6028) 
7: (x, y) = (-1.71216, -17.4806) 
8: (x, y) = (-0.493464, -7.55515) 
9: (x, y) = (1.92575, 2.14781) 
10: (x, y) = (-4.36745, 9.91927) 
11: (x, y) = (-13.5725, 13.8266) 
12: (x, y) = (-8.42212, 5.25491) 
13: (x, y) = (-14.1579, 13.4464) 
14: (x, y) = (-4.34161, 15.3545) 
15: (x, y) = (3.94877, 9.76259) 
16: (x, y) = (-2.74254, 2.33114) 
17: (x, y) = (-11.0329, -3.26079) 
18: (x, y) = (-1.46987, -6.18451) 
19: (x, y) = (-11.0329, -3.26079) 
20: (x, y) = (-7.1256, -12.4658) 
21: (x, y) = (2.65587, -14.545) 
22: (x, y) = (-5.6345, -20.1369) 
23: (x, y) = (-0.634504, -28.7971) 
24: (x, y) = (0.237054, -18.8352) 
25: (x, y) = (-9.66563, -17.4435) 
26: (x, y) = (-6.40995, -26.8986) 
27: (x, y) = (3.58396, -26.5497) 
28: (x, y) = (6.67413, -17.0391) 
29: (x, y) = (6.84866, -27.0376) 
30: (x, y) = (3.10259, -17.7657) 
31: (x, y) = (-1.43731, -26.6758) 
32: (x, y) = (6.22313, -20.2479) 
33: (x, y) = (15.3586, -24.3153) 
34: (x, y) = (5.96166, -20.8951) 
35: (x, y) = (15.2335, -24.6411) 
36: (x, y) = (25.159, -25.8598) 
37: (x, y) = (33.0391, -19.7032) 
38: (x, y) = (42.3749, -16.1195) 
39: (x, y) = (35.0613, -22.9395) 
40: (x, y) = (39.756, -31.769) 
After 40 steps, the subject has the following location: 
(x, y) = (39.756, -31.769).

or 
(m, a) = (50.8902, -38.6283).

Average outward distance per step = 1.27226




target distance: 123, step size: 9
0: (x, y) = (0, 0) 
1: (x, y) = (-7.54804, -4.90175) 
2: (x, y) = (-9.11087, 3.96152) 
3: (x, y) = (-17.7176, 6.59286) 
4: (x, y) = (-26.2771, 3.81171) 
5: (x, y) = (-17.3264, 2.87095) 
6: (x, y) = (-22.3592, 10.3323) 
7: (x, y) = (-14.27, 6.38695) 
8: (x, y) = (-18.2154, 14.4761) 
9: (x, y) = (-16.9628, 5.56369) 
10: (x, y) = (-13.4462, -2.72086) 
11: (x, y) = (-11.2689, 6.0118) 
12: (x, y) = (-3.89655, 11.174) 
13: (x, y) = (2.35538, 4.69993) 
14: (x, y) = (-6.37729, 2.52264) 
15: (x, y) = (-5.74948, 11.5007) 
16: (x, y) = (-9.97472, 3.55418) 
17: (x, y) = (-10.4457, 12.5419) 
18: (x, y) = (-7.07429, 4.1972) 
19: (x, y) = (1.32794, 7.42251) 
20: (x, y) = (8.22234, 1.63742) 
21: (x, y) = (16.7818, 4.41857) 
22: (x, y) = (22.6864, -2.37381) 
23: (x, y) = (16.6642, 4.31449) 
24: (x, y) = (20.4678, -3.84228) 
25: (x, y) = (27.6555, 1.57405) 
26: (x, y) = (26.7147, 10.5248) 
27: (x, y) = (34.2628, 5.623) 
28: (x, y) = (37.3409, 14.0802) 
29: (x, y) = (31.9246, 21.268) 
30: (x, y) = (24.053, 25.6312) 
31: (x, y) = (16.2588, 30.1312) 
32: (x, y) = (24.9521, 32.4606) 
33: (x, y) = (27.7333, 41.0201) 
34: (x, y) = (20.3609, 46.1823) 
35: (x, y) = (28.1552, 50.6823) 
36: (x, y) = (19.266, 49.2744) 
37: (x, y) = (23.6292, 57.146) 
38: (x, y) = (32.3619, 54.9687) 
39: (x, y) = (23.8024, 57.7498) 
40: (x, y) = (15.1957, 60.3812) 
41: (x, y) = (21.4476, 53.9071) 
42: (x, y) = (19.1182, 62.6005) 
43: (x, y) = (27.4629, 65.9719) 
44: (x, y) = (28.8708, 74.8611) 
45: (x, y) = (34.033, 67.4887) 
46: (x, y) = (28.0108, 60.8004) 
47: (x, y) = (30.0353, 69.5698) 
48: (x, y) = (29.0946, 78.5205) 
49: (x, y) = (37.8979, 80.3917) 
50: (x, y) = (29.3384, 77.6105) 
51: (x, y) = (20.6451, 75.2811) 
52: (x, y) = (13.2727, 80.4433) 
53: (x, y) = (5.25365, 76.3574) 
54: (x, y) = (-3.74087, 76.0433) 
55: (x, y) = (-12.6301, 74.6354) 
56: (x, y) = (-5.73567, 68.8503) 
57: (x, y) = (-5.10786, 59.8722) 
58: (x, y) = (1.03013, 53.2901) 
59: (x, y) = (8.57816, 48.3883) 
60: (x, y) = (0.706586, 52.7516) 
61: (x, y) = (-6.84145, 47.8498) 
62: (x, y) = (1.66822, 50.78) 
63: (x, y) = (7.45331, 43.8856) 
64: (x, y) = (15.0857, 48.6548) 
65: (x, y) = (22.9573, 53.0181) 
66: (x, y) = (14.8682, 56.9635) 
67: (x, y) = (23.0901, 60.6241) 
68: (x, y) = (14.5306, 63.4052) 
69: (x, y) = (6.44142, 59.4599) 
70: (x, y) = (-2.20993, 61.9406) 
71: (x, y) = (-11.0446, 63.6579) 
72: (x, y) = (-6.95866, 55.6389) 
73: (x, y) = (-5.55075, 64.5281) 
74: (x, y) = (3.00876, 67.3092) 
75: (x, y) = (3.32285, 58.3147) 
76: (x, y) = (4.73076, 49.4255) 
77: (x, y) = (7.66088, 40.9158) 
78: (x, y) = (12.1609, 33.1216) 
79: (x, y) = (7.79759, 25.25) 
80: (x, y) = (16.0821, 28.7666) 
81: (x, y) = (15.1414, 37.7173) 
82: (x, y) = (6.73915, 40.9426) 
